"User_ID","UTC_Time","Account","Operation","Coin","Change","Remark"
"62802503","2021-01-02 22:58:43","Funding","P2P Trading","USDT","194.17000000","P2P"
"62802503","2021-01-02 23:07:55","Spot","Binance Convert","USDT","-94.17000000",""
"62802503","2021-01-02 23:07:55","Spot","Binance Convert","ADA","527.73154453",""
"62802503","2021-01-02 23:27:03","Spot","Withdraw","ADA","-527.73154400","Withdraw fee is included"
"62802503","2021-01-09 20:40:18","Funding","P2P Trading","USDT","77.66000000","P2P"
"62802503","2021-01-09 20:46:11","Spot","Binance Convert","USDT","-20.26746000",""
"62802503","2021-01-09 20:46:11","Spot","Binance Convert","ADA","60.00000000",""
"62802503","2021-01-09 21:00:13","Spot","Withdraw","ADA","-60.00000000","Withdraw fee is included"
"62802503","2021-01-15 19:49:18","Spot","Binance Convert","USDT","-20.00000000",""
"62802503","2021-01-15 19:49:19","Spot","Binance Convert","BTC","0.00056298",""
"62802503","2021-01-18 11:29:24","Spot","Binance Convert","USDT","-20.00000000",""
"62802503","2021-01-18 11:29:24","Spot","Binance Convert","LTC","0.14207472",""
"62802503","2021-01-18 11:51:07","Spot","Withdraw","LTC","-0.14207472","Withdraw fee is included"
"62802503","2021-01-18 12:47:09","Spot","Binance Convert","USDT","-12.00000000",""
"62802503","2021-01-18 12:47:09","Spot","Binance Convert","ADA","32.37511972",""
"62802503","2021-01-18 13:06:02","Spot","Withdraw","ADA","-32.37512000","Withdraw fee is included"
"62802503","2021-01-20 20:05:47","Spot","Binance Convert","USDT","-20.00000000",""
"62802503","2021-01-20 20:05:47","Spot","Binance Convert","BTC","0.00056773",""
"62802503","2021-01-20 20:08:00","Spot","Binance Convert","USDT","-20.00000000",""
"62802503","2021-01-20 20:08:00","Spot","Binance Convert","XLM","67.92555359",""
"62802503","2021-01-20 20:09:27","Spot","Binance Convert","USDT","-10.00000000",""
"62802503","2021-01-20 20:09:27","Spot","Binance Convert","ADA","26.81842318",""
"62802503","2021-01-20 20:30:05","Spot","Withdraw","ADA","-26.81842300","Withdraw fee is included"
"62802503","2021-01-21 20:00:34","Spot","Sell","USDT","-22.16869200",""
"62802503","2021-01-21 20:00:34","Spot","Buy","LRC","54.60000000",""
"62802503","2021-01-21 20:00:34","Spot","Fee","LRC","-0.05460000",""
"62802503","2021-01-22 18:03:18","Spot","Binance Convert","TRX","349.93298783",""
"62802503","2021-01-22 18:03:18","Spot","Binance Convert","USDT","-10.00000000",""
"62802503","2021-01-22 18:05:53","Spot","Binance Convert","USDT","-23.22384800",""
"62802503","2021-01-22 18:05:53","Spot","Binance Convert","ADA","66.60084542",""
"62802503","2021-01-22 18:27:03","Spot","Withdraw","ADA","-66.60084500","Withdraw fee is included"
"62802503","2021-01-24 18:18:39","Spot","Deposit","LTC","0.98217658",""
"62802503","2021-01-24 18:20:45","Spot","Binance Convert","LTC","-0.30000000",""
"62802503","2021-01-24 18:20:46","Spot","Binance Convert","ADA","116.88068819",""
"62802503","2021-01-24 18:39:02","Spot","Withdraw","ADA","-116.88068900","Withdraw fee is included"
"62802503","2021-01-27 18:45:39","Spot","Binance Convert","BTC","0.00276746",""
"62802503","2021-01-27 18:45:39","Spot","Binance Convert","LTC","-0.68217658",""
"62802503","2021-01-29 10:30:32","Spot","Buy","ADA","98.00000000",""
"62802503","2021-01-29 10:30:32","Spot","Sell","BTC","-0.00097118",""
"62802503","2021-01-29 10:30:32","Spot","Fee","ADA","-0.09800000",""
"62802503","2021-01-29 11:02:04","Spot","Sell","BTC","-0.00048850",""
"62802503","2021-01-29 11:02:04","Spot","Buy","ADA","50.00000000",""
"62802503","2021-01-29 11:02:04","Spot","Fee","ADA","-0.05000000",""
